province,male,female,age
Prov. Kepulauan Riau,88532,101783,20-24
Prov. Kepulauan Riau,109075,110672,25-29
Prov. Kepulauan Riau,100536,94802,30-34
Prov. Kepulauan Riau,80269,68236,35-39
Prov. Kepulauan Riau,58226,44669,40-44
Prov. Kepulauan Riau,39419,31372,45-49
Prov. Kepulauan Riau,27350,23757,50-54
Prov. Kepulauan Riau,19092,16404,55-59
Prov. Kepulauan Riau,11732,10970,60-64
Prov. Kepulauan Riau,16914,17118,65+
Prov. Lampung,380269,358534,0-4
Prov. Lampung,377555,355127,5-9
Prov. Lampung,394779,373394,10-14
Prov. Lampung,356165,328328,15-19
Prov. Lampung,333838,322273,20-24
Prov. Lampung,348630,333194,25-29
Prov. Lampung,338364,319999,30-34
Prov. Lampung,301363,284379,35-39
Prov. Lampung,263323,247760,40-44
Prov. Lampung,224107,216634,45-49
Prov. Lampung,185449,163443,50-54
Prov. Lampung,138714,115078,55-59
Prov. Lampung,90035,87911,60-64
Prov. Lampung,184031,185729,65+
Prov. Maluku,96318,91221,0-4
Prov. Maluku,99919,92634,5-9
Prov. Maluku,90407,83863,10-14
Prov. Maluku,73410,69359,15-19
Prov. Maluku,64858,64441,20-24
Prov. Maluku,64376,66187,25-29
Prov. Maluku,56615,57792,30-34
Prov. Maluku,49640,49887,35-39
Prov. Maluku,42860,42706,40-44
Prov. Maluku,36942,37617,45-49
Prov. Maluku,31248,31095,50-54
Prov. Maluku,22898,21995,55-59
Prov. Maluku,16575,16822,60-64
Prov. Maluku,29411,32410,65+
Prov. Maluku Utara,65160,62284,0-4
Prov. Maluku Utara,66154,62271,5-9
Prov. Maluku Utara,58981,54578,10-14
Prov. Maluku Utara,48980,46046,15-19
Prov. Maluku Utara,46008,45793,20-24
Prov. Maluku Utara,48270,48768,25-29
Prov. Maluku Utara,43296,42501,30-34
Prov. Maluku Utara,38048,36213,35-39
Prov. Maluku Utara,30837,28175,40-44
Prov. Maluku Utara,24683,22961,45-49
Prov. Maluku Utara,20831,19233,50-54
Prov. Maluku Utara,15276,13076,55-59
Prov. Maluku Utara,10429,9420,60-64
Prov. Maluku Utara,14440,15375,65+
Prov. Nanggroe Aceh Darussalam,253712,239717,0-4
Prov. Nanggroe Aceh Darussalam,243660,230550,5-9
Prov. Nanggroe Aceh Darussalam,241286,229002,10-14
Prov. Nanggroe Aceh Darussalam,223321,219159,15-19
Prov. Nanggroe Aceh Darussalam,214391,224005,20-24
Prov. Nanggroe Aceh Darussalam,206555,211272,25-29
Prov. Nanggroe Aceh Darussalam,181093,183800,30-34
Prov. Nanggroe Aceh Darussalam,164744,162205,35-39
Prov. Nanggroe Aceh Darussalam,134996,134606,40-44
Prov. Nanggroe Aceh Darussalam,111812,113412,45-49
Prov. Nanggroe Aceh Darussalam,90675,88268,50-54
Prov. Nanggroe Aceh Darussalam,65745,62404,55-59
Prov. Nanggroe Aceh Darussalam,43374,49589,60-64
Prov. Nanggroe Aceh Darussalam,73588,97469,65+
Prov. Nusa Tenggara Barat,243246,230185,0-4
Prov. Nusa Tenggara Barat,238677,226569,5-9
Prov. Nusa Tenggara Barat,234035,222702,10-14
Prov. Nusa Tenggara Barat,211564,213612,15-19
Prov. Nusa Tenggara Barat,175723,211570,20-24
Prov. Nusa Tenggara Barat,182957,220022,25-29
Prov. Nusa Tenggara Barat,164260,191918,30-34
Prov. Nusa Tenggara Barat,158862,178130,35-39
Prov. Nusa Tenggara Barat,132333,146709,40-44
Prov. Nusa Tenggara Barat,112962,122127,45-49
Prov. Nusa Tenggara Barat,98189,104764,50-54
Prov. Nusa Tenggara Barat,69620,68996,55-59
Prov. Nusa Tenggara Barat,58136,61610,60-64
Prov. Nusa Tenggara Barat,94994,109690,65+
Prov. Nusa Tenggara Timur,302375,289418,0-4
Prov. Nusa Tenggara Timur,310289,294143,5-9
Prov. Nusa Tenggara Timur,277899,263190,10-14
Prov. Nusa Tenggara Timur,217460,208656,15-19
Prov. Nusa Tenggara Timur,167936,177259,20-24
Prov. Nusa Tenggara Timur,163253,182550,25-29
Prov. Nusa Tenggara Timur,150055,168954,30-34
